gender,weight_class,red_fid,r_fighter,blue_fid,b_fighter,rounds,Referee,bout_month,bout_day,bout_year,city,country,is_title_bout,winner,win_by,last_round
M,135.0,3553,Adrian Yanez,1861,Gustavo Lopez,3.0,Chris Tognoni,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,3
M,185.0,1104,Trevin Giles,800,Roman Dolidze,3.0,Herb Dean,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,265.0,3298,Tai Tuivasa,1424,Harry Hunsucker,3.0,Herb Dean,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
F,115.0,425,Cheyanne Buys,596,Montserrat Conejo,3.0,Mark Smith,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
F,135.0,2653,Marion Reneau,537,Macy Chiasson,3.0,Mark Smith,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,155.0,2861,Leonardo Santos,715,Grant Dawson,3.0,Chris Tognoni,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,3
M,170.0,3056,Song Kenan,1198,Max Griffin,3.0,Keith Peterson,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,185.0,388,Derek Brunson,1369,Kevin Holland,5.0,Herb Dean,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,5
M,135.0,1483,Montel Jackson,3142,Jesse Strader,3.0,Keith Peterson,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,125.0,2996,Bruno Silva,427,JP Buys,3.0,Mark Smith,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,125.0,1594,Manel Kape,2308,Matheus Nicolau,3.0,,3.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Split,3
M,205.0,560,Misha Cirkunov,3080,Ryan Spann,3.0,Mark Smith,3.0,13.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,170.0,862,Leon Edwards,2216,Belal Muhammad,5.0,Herb Dean,3.0,13.0,2021.0,Las Vegas,USA,0.0,none,Could Not Continue,2
M,145.0,1566,Charles Jourdain,2743,Marcelo Rojo,3.0,Mark Smith,3.0,13.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,3
M,185.0,96,Eryk Anders,3123,Darren Stewart,3.0,Herb Dean,3.0,13.0,2021.0,Las Vegas,USA,0.0,none,Could Not Continue,1
F,115.0,1356,Angela Hill,3548,Ashley Yoder,3.0,Mike Beltran,3.0,13.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,135.0,1980,Jonathan Martinez,1188,Davey Grant,3.0,Chris Tognoni,3.0,13.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,145.0,1435,Dan Ige,3294,Gavin Tucker,3.0,Mike Beltran,3.0,13.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,155.0,1265,Nasrat Haqparast,1075,Rafa Garcia,3.0,Chris Tognoni,3.0,13.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,125.0,500,Cortney Casey,48,JJ Aldrich,3.0,Mark Smith,3.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Split,3
M,170.0,2927,Matthew Semelsberger,3499,Jason Witt,3.0,Chris Tognoni,3.0,13.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,135.0,3524,Rani Yahya,2733,Ray Rodriguez,3.0,Herb Dean,3.0,13.0,2021.0,Las Vegas,USA,0.0,red,Submission,2
F,115.0,732,Gloria de Paula,1022,Jinh Yu Frey,3.0,Mike Beltran,3.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,135.0,658,Dominick Cruz,1628,Casey Kenney,3.0,Jason Herzog,3.0,6.0,2021.0,Las Vegas,USA,0.0,red,Decision - Split,3
M,135.0,3057,Song Yadong,2531,Kyler Phillips,3.0,Mark Smith,3.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,135.0,3535,Petr Yan,3118,Aljamain Sterling,5.0,Mark Smith,3.0,6.0,2021.0,Las Vegas,USA,1.0,blue,DQ,4
M,205.0,286,Jan Blachowicz,14,Israel Adesanya,5.0,Herb Dean,3.0,6.0,2021.0,Las Vegas,USA,1.0,red,Decision - Unanimous,5
M,205.0,2859,Thiago Santos,2610,Aleksandar Rakic,3.0,Herb Dean,3.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,125.0,246,Joseph Benavidez,146,Askar Askarov,3.0,Jason Herzog,3.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
F,145.0,2336,Amanda Nunes,103,Megan Anderson,5.0,Jason Herzog,3.0,6.0,2021.0,Las Vegas,USA,1.0,red,Submission,1
M,155.0,1929,Islam Makhachev,788,Drew Dober,3.0,Chris Tognoni,3.0,6.0,2021.0,Las Vegas,USA,0.0,red,Submission,3
M,125.0,877,Tim Elliott,909,Jordan Espinosa,3.0,Mark Smith,3.0,6.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,115.0,3076,Livinha Souza,1794,Amanda Lemos,3.0,Jason Herzog,3.0,6.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,125.0,316,Rogerio Bontorin,1600,Kai Kara-France,3.0,Herb Dean,3.0,6.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,155.0,2061,Uros Medic,659,Aalon Cruz,3.0,Mark Smith,3.0,6.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,205.0,2347,Kennedy Nzechukwu,3312,Carlos Ulberg,3.0,Herb Dean,3.0,6.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,170.0,342,Sean Brady,2001,Jake Matthews,3.0,Chris Tognoni,3.0,6.0,2021.0,Las Vegas,USA,0.0,red,Submission,3
M,135.0,228,Mario Bautista,1553,Trevin Jones,3.0,Chris Tognoni,3.0,6.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,265.0,2777,Jairzinho Rozenstruik,1066,Ciryl Gane,5.0,Herb Dean,2.0,27.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,5
F,125.0,723,Montana De La Rosa,398,Mayra Bueno Silva,3.0,Jerin Valel,2.0,27.0,2021.0,Las Vegas,USA,0.0,none,Decision - Majority,3
M,135.0,435,Vince Cachero,1761,Ronnie Lawrence,3.0,Jerin Valel,2.0,27.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,3
M,155.0,1332,Alexander Hernandez,2154,Thiago Moises,3.0,Mark Smith,2.0,27.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,135.0,2222,Pedro Munhoz,2695,Jimmie Rivera,3.0,Herb Dean,2.0,27.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,145.0,434,Alex Caceres,652,Kevin Croom,3.0,Chris Tognoni,2.0,27.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,135.0,711,Alexis Davis,2017,Sabina Mazo,3.0,Chris Tognoni,2.0,27.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,205.0,1697,Nikita Krylov,112,Magomed Ankalaev,3.0,Mark Smith,2.0,27.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,205.0,1484,Dustin Jacoby,1210,Maxim Grishin,3.0,Chris Tognoni,2.0,27.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,265.0,2373,Aleksei Oleinik,702,Chris Daukaus,3.0,Herb Dean,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,145.0,2757,Charles Rosa,2122,Darrick Minner,3.0,Mark Smith,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,185.0,1297,Phil Hawes,1442,Nassourdine Imavov,3.0,Chris Tognoni,2.0,20.0,2021.0,Las Vegas,USA,0.0,red,Decision - Majority,3
M,265.0,294,Curtis Blaydes,1815,Derrick Lewis,5.0,Herb Dean,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,135.0,3495,Eddie Wineland,505,John Castaneda,3.0,Jason Herzog,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,265.0,133,Andrei Arlovski,151,Tom Aspinall,3.0,Mark Smith,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Submission,2
M,145.0,1159,Jared Gordon,531,Danny Chavez,3.0,Herb Dean,2.0,20.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,135.0,3375,Ketlen Vieira,1708,Yana Kunitskaya,3.0,Jason Herzog,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,135.0,3568,Aiemann Zahabi,2735,Drako Rodriguez,3.0,Mark Smith,2.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,265.0,3092,Serghei Spivac,3339,Jared Vanderaa,3.0,Chris Tognoni,2.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,145.0,1736,Nate Landwehr,897,Julian Erosa,3.0,Mark Smith,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
F,125.0,789,Shana Dobson,2356,Casey O'Neill,3.0,Chris Tognoni,2.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,2
F,125.0,194,Maycee Barber,1191,Alexa Grasso,3.0,Keith Peterson,2.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,170.0,2216,Belal Muhammad,1827,Dhiego Lima,3.0,Herb Dean,2.0,13.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,185.0,2548,Maki Pitolo,1960,Julian Marquez,3.0,Mark Smith,2.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Submission,3
M,170.0,3323,Kamaru Usman,412,Gilbert Burns,5.0,Herb Dean,2.0,13.0,2021.0,Las Vegas,USA,1.0,red,KO/TKO,3
M,145.0,3004,Ricky Simon,1615,Brian Kelleher,3.0,Keith Peterson,2.0,13.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,185.0,1082,Kelvin Gastelum,1312,Ian Heinisch,3.0,Mark Smith,2.0,13.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,115.0,3373,Polyana Viana,1974,Mallory Martin,3.0,Mark Smith,2.0,13.0,2021.0,Las Vegas,USA,0.0,red,Submission,1
M,185.0,3379,Rodolfo Vieira,1333,Anthony Hernandez,3.0,Keith Peterson,2.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Submission,2
M,170.0,1200,Gabe Green,2773,Philip Rowe,3.0,Mark Smith,2.0,13.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,125.0,2439,Alexandre Pantoja,1594,Manel Kape,3.0,Keith Peterson,2.0,6.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,135.0,2758,Karol Rosa,859,Joselyne Edwards,3.0,Mark Smith,2.0,6.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,155.0,1527,Michael Johnson,1225,Clay Guida,3.0,Mark Smith,2.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,265.0,2410,Alistair Overeem,3396,Alexander Volkov,5.0,Jason Herzog,2.0,6.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,155.0,952,Diego Ferreira,699,Beneil Dariush,3.0,Chris Tognoni,2.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Split,3
M,135.0,2836,Cory Sandhagen,855,Frankie Edgar,3.0,Keith Peterson,2.0,6.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,205.0,2732,Mike Rodriguez,1958,Danilo Marques,3.0,Jason Herzog,2.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Submission,2
M,145.0,2396,Ode Osbourne,2696,Jerome Rivera,3.0,Chris Tognoni,2.0,6.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,145.0,545,SeungWoo Choi,3571,Youssef Zalal,3.0,Chris Tognoni,2.0,6.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,125.0,2021,Molly McCann,2578,Lara Procopio,3.0,Jason Herzog,2.0,6.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,145.0,3329,Timur Valiev,717,Martin Day,3.0,Mark Smith,2.0,6.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,155.0,1392,Dan Hooker,527,Michael Chandler,3.0,Marc Goddard,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,KO/TKO,1
M,185.0,2833,Andrew Sanchez,2229,Makhmud Muradov,3.0,Jason Herzog,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,KO/TKO,3
F,135.0,2478,Julianna Pena,2053,Sara McMann,3.0,Keith Peterson,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Submission,3
F,125.0,924,Jessica Eye,440,Joanne Calderwood,3.0,Keith Peterson,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Unanimous,3
M,155.0,2555,Dustin Poirier,2040,Conor McGregor,5.0,Herb Dean,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,KO/TKO,2
M,185.0,3210,Brad Tavares,479,Antonio Carlos Junior,3.0,Marc Goddard,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,155.0,3291,Arman Tsarukyan,1021,Matt Frevola,3.0,Lukasz Bosacki,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
F,115.0,2730,Marina Rodriguez,2665,Amanda Ribas,3.0,Herb Dean,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,KO/TKO,2
M,125.0,35,Amir Albazi,3581,Zhalgas Zhumagulov,3.0,Jason Herzog,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,205.0,2769,Khalil Rountree Jr.,2565,Marcin Prachnio,3.0,Herb Dean,1.0,23.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Unanimous,3
M,135.0,3004,Ricky Simon,2546,Gaetano Pirrello,3.0,Keith Peterson,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Submission,2
M,185.0,27,Omari Akhmedov,350,Tom Breese,3.0,Lukasz Bosacki,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Submission,2
M,170.0,85,Warlley Alves,1764,Mounir Lazzez,3.0,Herb Dean,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,KO/TKO,1
M,125.0,2903,Matt Schnell,2263,Tyson Nam,3.0,Herb Dean,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Split,3
F,125.0,2152,Roxanne Modafferi,129,Viviane Araujo,3.0,Keith Peterson,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Unanimous,3
M,205.0,3384,Ike Villanueva,2193,Vinicius Moreira,3.0,Jason Herzog,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,KO/TKO,2
M,170.0,539,Michael Chiesa,1913,Neil Magny,5.0,Marc Goddard,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,5
M,145.0,2238,Lerone Murphy,2998,Douglas Silva de Andrade,3.0,Marc Goddard,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,125.0,2213,Su Mudaerji,15,Zarrukh Adashev,3.0,Jason Herzog,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,125.0,959,Francisco Figueiredo,2696,Jerome Rivera,3.0,Marc Goddard,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,155.0,708,Mike Davis,1554,Mason Jones,3.0,Keith Peterson,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,185.0,1878,Dalcha Lungiambula,2502,Markus Perez,3.0,Herb Dean,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,135.0,2346,Umar Nurmagomedov,2201,Sergey Morozov,3.0,Jason Herzog,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Submission,2
F,125.0,1800,Victoria Leonardo,969,Manon Fiorot,3.0,Lukasz Bosacki,1.0,20.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,KO/TKO,2
F,135.0,3521,Wu Yanan,859,Joselyne Edwards,3.0,Jason Herzog,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Unanimous,3
M,185.0,3061,Punahele Soriano,3256,Dusko Todorovic,3.0,Herb Dean,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,KO/TKO,1
M,265.0,941,Carlos Felipe,3179,Justin Tafa,3.0,Herb Dean,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Split,3
M,170.0,595,Carlos Condit,374,Matt Brown,3.0,Marc Goddard,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,3
M,170.0,3574,David Zawada,882,Ramazan Emeev,3.0,Jason Herzog,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Split,3
M,185.0,395,Joaquin Buckley,757,Alessio Di Chirico,3.0,Keith Peterson,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,KO/TKO,1
M,170.0,2557,Santiago Ponzinibbio,1817,Li Jingliang,3.0,Jason Herzog,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,KO/TKO,1
M,145.0,1376,Max Holloway,1605,Calvin Kattar,5.0,Herb Dean,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,red,Decision - Unanimous,5
F,135.0,2189,Sarah Moras,2076,Vanessa Melo,3.0,Keith Peterson,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Unanimous,3
M,145.0,1640,Jacob Kilburn,1850,Austin Lingo,3.0,Marc Goddard,1.0,16.0,2021.0,Abu Dhabi,United Arab Emirates,0.0,blue,Decision - Unanimous,3
M,135.0,2179,Marlon Moraes,989,Rob Font,3.0,Marc Goddard,12.0,19.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,1
F,135.0,913,Sijara Eubanks,1641,Pannie Kianzad,3.0,Mark Smith,12.0,19.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,170.0,3247,Stephen Thompson,2285,Geoff Neal,5.0,Marc Goddard,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,5
M,135.0,49,Jose Aldo,3366,Marlon Vera,3.0,Dan Miragliotta,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,170.0,2519,Anthony Pettis,2199,Alex Morono,3.0,Marc Goddard,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,265.0,3307,Marcin Tybura,1273,Greg Hardy,3.0,Dan Miragliotta,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,170.0,2492,Michel Pereira,3487,Khaos Williams,3.0,Mark Smith,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,125.0,2714,Gillian Robertson,2865,Taila Santos,3.0,Mark Smith,12.0,19.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,125.0,975,Jimmy Flick,833,Cody Durden,3.0,Jerin Valel,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,Submission,1
M,185.0,2281,Tafon Nchukwi,2534,Jamie Pickett,3.0,Chris Tognoni,12.0,19.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,155.0,2156,Renato Moicano,979,Rafael Fiziev,3.0,Chris Tognoni,12.0,12.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,185.0,1369,Kevin Holland,3077,Jacare Souza,3.0,Mark Smith,12.0,12.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,1
F,115.0,755,Mackenzie Dern,1488,Virna Jandiroba,3.0,Jason Herzog,12.0,12.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,155.0,947,Tony Ferguson,2375,Charles Oliveira,3.0,Mark Smith,12.0,12.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,125.0,958,Deiveson Figueiredo,2194,Brandon Moreno,5.0,Jason Herzog,12.0,12.0,2020.0,Las Vegas,USA,1.0,none,Decision - Majority,5
M,265.0,806,Junior Dos Santos,1066,Ciryl Gane,3.0,Jerin Valel,12.0,12.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,145.0,3294,Gavin Tucker,2595,Billy Quarantillo,3.0,Jerin Valel,12.0,12.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,145.0,3169,Cub Swanson,2543,Daniel Pineda,3.0,Mark Smith,12.0,12.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,2
F,115.0,3272,Tecia Torres,1421,Sam Hughes,3.0,Jason Herzog,12.0,12.0,2020.0,Las Vegas,USA,0.0,red,TKO - Doctor's Stoppage,1
M,145.0,1391,Chase Hooper,212,Peter Barrett,3.0,Chris Tognoni,12.0,12.0,2020.0,Las Vegas,USA,0.0,red,Submission,3
M,155.0,249,Gabriel Benitez,1496,Justin Jaynes,3.0,,12.0,5.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,205.0,800,Roman Dolidze,62,John Allan,3.0,Herb Dean,12.0,5.0,2020.0,Las Vegas,USA,0.0,red,Decision - Split,3
M,145.0,3263,Ilia Topuria,1481,Damon Jackson,3.0,Mark Smith,12.0,5.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,135.0,3044,Louis Smolka,2602,Jose Quinonez,3.0,Jason Herzog,12.0,5.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,265.0,3383,Gian Villante,592,Jake Collier,3.0,Chris Tognoni,12.0,5.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,205.0,2799,Ovince Saint Preux,1354,Jamahal Hill,3.0,Jason Herzog,12.0,5.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,155.0,3494,Matt Wiman,1767,Jordan Leavitt,3.0,Chris Tognoni,12.0,5.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,185.0,1329,Jack Hermansson,3369,Marvin Vettori,5.0,Herb Dean,12.0,5.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,5
F,135.0,917,Ashlee Evans-Smith,824,Norma Dumont,3.0,Jason Herzog,11.0,28.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,145.0,2468,Jonathan Pearce,1586,Kai Kamaka,3.0,Dan Miragliotta,11.0,28.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,170.0,177,Miguel Baeza,2879,Takashi Sato,3.0,Dan Miragliotta,11.0,28.0,2020.0,Las Vegas,USA,0.0,red,Submission,2
M,265.0,2444,Josh Parisian,2561,Parker Porter,3.0,Mark Smith,11.0,28.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,205.0,3033,Anthony Smith,566,Devin Clark,5.0,Herb Dean,11.0,28.0,2020.0,Las Vegas,USA,0.0,red,Submission,1
M,145.0,480,Spike Carlyle,58,Bill Algeo,3.0,Herb Dean,11.0,28.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,135.0,717,Martin Day,802,Anderson Dos Santos,3.0,Herb Dean,11.0,28.0,2020.0,Las Vegas,USA,0.0,blue,Submission,1
F,125.0,2014,Gina Mazany,2402,Rachael Ostovich,3.0,Mark Smith,11.0,28.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,3
M,125.0,2213,Su Mudaerji,1158,Malcolm Gordon,3.0,Dan Miragliotta,11.0,28.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,125.0,2194,Brandon Moreno,2776,Brandon Royval,3.0,Marc Goddard,11.0,21.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,185.0,395,Joaquin Buckley,3518,Jordan Wright,3.0,Herb Dean,11.0,21.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,2
F,125.0,552,Katlyn Chookagian,443,Cynthia Calvillo,3.0,Mark Smith,11.0,21.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,125.0,2952,Antonina Shevchenko,1837,Ariane Lipski,3.0,Chris Tognoni,11.0,21.0,2020.0,Las Vegas,USA,0.0,red,KO/TKO,2
F,125.0,2954,Valentina Shevchenko,1924,Jennifer Maia,5.0,Herb Dean,11.0,21.0,2020.0,Las Vegas,USA,1.0,red,Decision - Unanimous,5
M,125.0,958,Deiveson Figueiredo,2504,Alex Perez,5.0,Marc Goddard,11.0,21.0,2020.0,Las Vegas,USA,1.0,red,Submission,1
M,205.0,2782,Mauricio Rua,644,Paul Craig,3.0,Herb Dean,11.0,21.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,2
M,170.0,2514,Mike Perry,2057,Tim Means,3.0,Marc Goddard,11.0,21.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,170.0,1565,Alan Jouban,1150,Jared Gooden,3.0,Chris Tognoni,11.0,21.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,170.0,2731,Daniel Rodriguez,683,Nicolas Dalby,3.0,Mark Smith,11.0,21.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,170.0,623,Louis Cosce,2428,Sasha Palatnikov,3.0,Chris Tognoni,11.0,21.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,3
M,185.0,701,Kyle Daukaus,3131,Dustin Stoltzfus,3.0,Mark Smith,11.0,21.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,115.0,3548,Ashley Yoder,1185,Miranda Granger,3.0,Jason Herzog,11.0,14.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
F,115.0,1267,Kay Hansen,2048,Cory McKenna,3.0,Jason Herzog,11.0,14.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
F,115.0,1956,Randa Markos,2230,Kanako Murata,3.0,Mark Smith,11.0,14.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,135.0,720,Geraldo de Freitas,1190,Tony Gravely,3.0,Chris Tognoni,11.0,14.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Split,3
M,170.0,2199,Alex Morono,2045,Rhys McKee,3.0,Jason Herzog,11.0,14.0,2020.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,170.0,2635,Abdul Razak Alhassan,3487,Khaos Williams,3.0,Mark Smith,11.0,14.0,2020.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,155.0,942,Paul Felder,807,Rafael Dos Anjos,5.0,Herb Dean,11.0,14.0,2020.0,Las Vegas,USA,0.0,blue,Decision - Split,5
