fighter_id,fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc
52,Houston Alexander,72.0,205.0,72.0,Orthodox,3.06,54.0,3.2,52.0,1.19,57.0,33.0,0.0,3.0,22.0,1972.0,6,2,4,0
53,John Alessio,70.0,155.0,72.0,Orthodox,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2,7.0,5.0,1979.0,5,0,5,0
54,Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,5.0,5.0,1989.0,3,0,3,0
58,Bill Algeo,72.0,145.0,73.0,Switch,6.8,56.0,5.31,38.0,0.67,33.0,62.0,0.0,6.0,9.0,1989.0,2,1,1,0
59,Royce Alger,70.0,199.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2,0,2,0
61,Sultan Aliev,71.0,170.0,74.0,Orthodox,1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0,9.0,17.0,1984.0,4,2,2,0
62,John Allan,73.0,205.0,75.0,Orthodox,2.95,43.0,4.01,52.0,1.94,71.0,50.0,1.2,2.0,22.0,1993.0,2,0,1,1
63,Arnold Allen,68.0,145.0,70.0,Southpaw,3.19,41.0,2.0,67.0,1.36,52.0,76.0,0.5,1.0,22.0,1994.0,7,7,0,0
65,Ben Alloway,71.0,170.0,76.0,Orthodox,1.28,49.0,1.9,59.0,0.62,50.0,26.0,0.0,2.0,19.0,1981.0,3,1,2,0
66,Brendan Allen,74.0,185.0,75.0,Orthodox,3.55,59.0,4.57,39.0,1.17,37.0,50.0,2.0,12.0,28.0,1995.0,4,3,1,0
67,Ricardo Almeida,72.0,170.0,74.0,Orthodox,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,11.0,29.0,1976.0,11,6,5,0
69,Thomas Almeida,67.0,145.0,70.0,Southpaw,5.39,44.0,4.69,64.0,0.0,0.0,75.0,0.0,7.0,31.0,1991.0,9,5,4,0
70,Ericka Almeida,66.0,115.0,,Orthodox,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,3.0,5.0,1989.0,2,0,2,0
73,Sarah Alpar,64.0,135.0,63.0,Southpaw,2.11,54.0,4.76,32.0,2.69,28.0,50.0,0.7,6.0,1.0,1991.0,1,0,1,0
75,Ali AlQaisi,66.0,135.0,68.0,Orthodox,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,9.0,23.0,1990.0,2,0,2,0
77,Sean Alvarez,72.0,235.0,,Orthodox,0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0,7.0,14.0,1971.0,1,0,1,0
79,Joel Alvarez,75.0,155.0,77.0,Orthodox,2.84,37.0,3.31,53.0,0.0,0.0,0.0,1.6,3.0,2.0,1994.0,4,3,1,0
80,Eddie Alvarez,69.0,155.0,69.0,Orthodox,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,1.0,11.0,1984.0,8,4,3,1
82,Amilcar Alves,72.0,170.0,,Southpaw,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,8.0,8.0,1988.0,2,0,2,0
83,Thiago Alves,69.0,170.0,70.0,Orthodox,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3,10.0,3.0,1983.0,27,15,12,0
85,Warlley Alves,71.0,170.0,72.0,Orthodox,3.09,47.0,3.62,50.0,1.48,54.0,75.0,1.0,1.0,4.0,1991.0,12,8,4,0
88,Adlan Amagov,74.0,170.0,76.0,Orthodox,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0,10.0,30.0,1986.0,2,2,0,0
89,Sam Alvey,74.0,205.0,75.0,Southpaw,3.17,44.0,3.26,55.0,0.08,16.0,82.0,0.1,5.0,6.0,1986.0,20,10,9,1
93,Alen Amedovski,70.0,185.0,74.0,Orthodox,0.52,28.0,3.14,37.0,0.0,0.0,0.0,0.0,4.0,6.0,1988.0,2,0,2,0
94,Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1.42,44.0,2.63,51.0,3.37,37.0,57.0,1.4,11.0,8.0,1988.0,9,6,3,0
96,Eryk Anders,73.0,185.0,75.0,Southpaw,3.23,46.0,4.15,51.0,1.62,35.0,80.0,0.1,4.0,21.0,1987.0,11,5,5,1
97,Andy Anderson,66.0,240.0,,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,1974.0,1,0,1,0
99,Matt Andersen,74.0,230.0,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,1971.0,1,0,1,0
100,Lowell Anderson,66.0,160.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,1,0
102,Corey Anderson,75.0,205.0,79.0,Orthodox,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0,9.0,22.0,1989.0,15,10,5,0
103,Megan Anderson,72.0,145.0,72.0,Orthodox,1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5,2.0,11.0,1990.0,6,3,3,0
104,Viscardi Andrade,71.0,170.0,75.0,Orthodox,3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3,3.0,8.0,1984.0,4,3,1,0
105,Alex Andrade,71.0,200.0,,Orthodox,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,5.0,14.0,1974.0,1,0,1,0
106,Jermaine Andre,67.0,200.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,1,0
107,Jessica Andrade,61.0,115.0,62.0,Orthodox,6.38,49.0,5.26,53.0,3.11,57.0,76.0,0.4,9.0,25.0,1991.0,18,12,6,0
108,Reese Andy,72.0,205.0,,Orthodox,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0,3.0,31.0,1973.0,2,0,2,0
109,Dylan Andrews,73.0,185.0,74.0,Switch,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,11.0,15.0,1979.0,5,2,3,0
112,Magomed Ankalaev,75.0,205.0,75.0,Orthodox,3.41,53.0,1.78,65.0,1.18,33.0,85.0,0.0,6.0,2.0,1992.0,7,6,1,0
113,Yoji Anjo,71.0,205.0,,Orthodox,0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0,3.0,28.0,1967.0,3,0,3,0
114,Nina Ansaroff,65.0,115.0,64.0,Orthodox,4.81,47.0,3.55,54.0,0.29,40.0,77.0,0.6,12.0,3.0,1985.0,7,4,3,0
117,Gadzhimurad Antigulov,71.0,205.0,70.0,Orthodox,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4,2.0,9.0,1987.0,6,2,4,0
118,Azunna Anyanwu,73.0,251.0,,Orthodox,2.47,42.0,2.47,69.0,0.65,100.0,0.0,0.0,8.0,5.0,1981.0,1,0,1,0
119,Shinsho Anzai,67.0,170.0,70.0,Orthodox,3.23,58.0,3.75,45.0,1.83,16.0,75.0,0.0,12.0,1.0,1985.0,4,2,2,0
124,Romie Aram,70.0,170.0,,Orthodox,1.8,35.0,2.83,50.0,2.5,62.0,83.0,0.0,12.0,2.0,1977.0,1,0,1,0
126,Igor Araujo,73.0,170.0,77.0,Orthodox,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6,12.0,6.0,1980.0,4,2,2,0
127,Felipe Arantes,68.0,135.0,73.0,Orthodox,2.37,45.0,2.66,64.0,0.93,47.0,41.0,0.7,2.0,9.0,1988.0,12,5,6,1
128,Julio Arce,67.0,145.0,70.0,Southpaw,4.25,36.0,2.87,67.0,0.58,30.0,93.0,0.6,10.0,27.0,1989.0,5,3,2,0
129,Viviane Araujo,64.0,125.0,68.0,Orthodox,4.97,48.0,4.84,60.0,2.33,64.0,94.0,0.2,11.0,21.0,1986.0,5,4,1,0
133,Andrei Arlovski,75.0,240.0,77.0,Orthodox,3.48,44.0,2.83,57.0,0.47,36.0,78.0,0.3,2.0,4.0,1979.0,34,19,14,1
134,Akbarh Arreola,70.0,155.0,71.0,Southpaw,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4,1.0,14.0,1983.0,4,1,3,0
137,Austin Arnett,72.0,145.0,72.0,Orthodox,4.52,41.0,6.38,62.0,0.44,18.0,57.0,0.2,10.0,22.0,1991.0,4,1,3,0
138,Matt Arroyo,70.0,170.0,72.0,Orthodox,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,9.0,1.0,1982.0,3,1,2,0
139,Antonio Arroyo,75.0,185.0,73.0,Orthodox,3.08,70.0,1.72,44.0,1.4,41.0,32.0,0.3,7.0,1.0,1989.0,2,0,2,0
143,Cesar Arzamendia,71.0,155.0,,Orthodox,5.37,45.0,5.2,56.0,7.32,75.0,0.0,2.4,1.0,31.0,1991.0,2,0,2,0
146,Askar Askarov,66.0,125.0,67.0,Orthodox,3.37,55.0,2.65,56.0,2.75,28.0,64.0,0.0,10.0,9.0,1992.0,4,3,0,1
147,Cyril Asker,72.0,247.0,74.0,Orthodox,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9,12.0,24.0,1985.0,5,2,3,0
148,Scott Askham,75.0,185.0,75.0,Southpaw,3.03,46.0,3.52,52.0,0.44,18.0,65.0,0.7,5.0,20.0,1988.0,6,2,4,0
149,Ben Askren,71.0,170.0,73.0,Orthodox,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9,7.0,18.0,1984.0,3,1,2,0
151,Tom Aspinall,77.0,256.0,78.0,Orthodox,7.43,66.0,3.06,65.0,3.54,100.0,0.0,1.8,4.0,11.0,1993.0,3,3,0,0
153,Junior Assuncao,69.0,145.0,72.0,Orthodox,3.31,62.0,2.06,44.0,2.43,24.0,66.0,0.7,6.0,24.0,1981.0,5,2,3,0
154,Raphael Assuncao,65.0,135.0,66.0,Orthodox,3.26,40.0,2.33,68.0,1.48,38.0,80.0,0.3,7.0,19.0,1982.0,16,11,5,0
156,Rich Attonito,70.0,170.0,72.0,Orthodox,2.28,47.0,2.13,59.0,0.74,37.0,75.0,0.0,6.0,16.0,1977.0,5,3,2,0
157,Pat Audinwood,72.0,155.0,,Orthodox,1.17,12.0,4.31,41.0,0.8,50.0,0.0,0.0,4.0,16.0,1986.0,2,0,2,0
158,Olivier Aubin-Mercier,69.0,155.0,70.0,Southpaw,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5,2.0,23.0,1989.0,12,7,5,0
160,Marcus Aurelio,70.0,155.0,74.0,Orthodox,1.42,33.0,2.27,59.0,1.69,27.0,27.0,1.3,8.0,18.0,1973.0,6,2,4,0
165,Julia Avila,67.0,135.0,68.0,Orthodox,3.1,41.0,2.9,54.0,0.49,50.0,60.0,0.0,5.0,11.0,1988.0,3,2,1,0
166,Chris Avila,70.0,145.0,,Orthodox,2.37,30.0,4.17,48.0,0.0,0.0,46.0,0.0,1.0,16.0,1993.0,2,0,2,0
168,Abu Azaitar,69.0,185.0,76.0,Orthodox,3.2,37.0,1.27,57.0,1.0,100.0,25.0,0.0,3.0,10.0,1986.0,1,1,0,0
170,Jessin Ayari,72.0,155.0,73.0,Orthodox,3.53,37.0,3.59,58.0,0.0,0.0,50.0,0.3,5.0,31.0,1992.0,4,1,3,0
172,Ottman Azaitar,68.0,155.0,71.0,Switch,8.43,57.0,1.76,67.0,0.0,0.0,100.0,0.0,2.0,20.0,1990.0,2,2,0,0
174,Hunter Azure,68.0,145.0,69.0,Orthodox,4.17,52.0,1.99,62.0,2.52,45.0,76.0,1.4,3.0,2.0,1992.0,3,2,1,0
175,Niklas Backstrom,73.0,145.0,,Orthodox,1.12,41.0,3.65,40.0,2.92,80.0,72.0,2.2,8.0,22.0,1989.0,3,1,2,0
176,Izabela Badurek,65.0,115.0,,Orthodox,3.74,71.0,4.9,32.0,1.75,12.0,100.0,0.0,7.0,11.0,1991.0,1,0,1,0
177,Miguel Baeza,74.0,170.0,74.0,Orthodox,4.64,55.0,3.89,50.0,0.8,40.0,100.0,1.2,8.0,23.0,1992.0,3,3,0,0
178,Ali Bagautinov,64.0,125.0,65.0,Orthodox,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,6.0,10.0,1985.0,7,4,3,0
179,Seth Baczynski,75.0,170.0,75.0,Orthodox,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,10.0,26.0,1981.0,11,5,6,0
180,Ryan Bader,74.0,205.0,74.0,Orthodox,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,6.0,7.0,1983.0,20,15,5,0
181,Mehdi Baghdad,73.0,155.0,,Orthodox,3.13,30.0,4.56,46.0,0.0,0.0,33.0,0.0,4.0,13.0,1985.0,2,0,2,0
183,Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,2.91,40.0,3.23,49.0,1.32,61.0,62.0,0.3,4.0,17.0,1984.0,8,4,4,0
188,Oluwale Bamgbose,71.0,185.0,78.0,Switch,2.45,48.0,2.7,55.0,0.94,33.0,37.0,0.0,8.0,4.0,1987.0,5,1,4,0
189,Shamar Bailey,69.0,155.0,75.0,Southpaw,1.56,20.0,3.91,69.0,1.5,33.0,37.0,0.0,9.0,22.0,1982.0,3,1,2,0
190,Scott Baker,72.0,210.0,,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,1,0
191,Marcin Bandel,70.0,155.0,,Orthodox,0.79,50.0,5.26,23.0,0.0,0.0,0.0,0.0,10.0,10.0,1989.0,2,0,2,0
192,Humberto Bandenay,71.0,145.0,71.0,Southpaw,2.22,41.0,4.79,41.0,2.9,46.0,62.0,0.5,9.0,4.0,1994.0,4,1,3,0
193,Tae Hyun Bang,69.0,155.0,71.0,Switch,2.72,38.0,2.07,66.0,0.49,33.0,57.0,0.5,4.0,15.0,1983.0,5,2,3,0
194,Maycee Barber,65.0,125.0,65.0,Switch,5.21,52.0,3.0,50.0,1.44,40.0,80.0,0.2,5.0,18.0,1998.0,5,3,2,0
197,Antonio Banuelos,65.0,135.0,63.0,Orthodox,2.69,33.0,3.15,58.0,1.62,62.0,86.0,0.4,9.0,23.0,1979.0,1,0,1,0
198,Bryan Barberena,72.0,170.0,72.0,Southpaw,5.48,48.0,4.7,45.0,0.23,28.0,60.0,0.5,5.0,3.0,1989.0,11,6,5,0
199,Renan Barao,66.0,145.0,70.0,Orthodox,3.78,36.0,3.9,57.0,1.49,41.0,91.0,0.5,1.0,31.0,1987.0,17,9,8,0
200,Edson Barboza,71.0,145.0,75.0,Orthodox,3.98,43.0,4.03,60.0,0.44,44.0,78.0,0.1,1.0,21.0,1986.0,24,15,9,0
203,Raoni Barcelos,67.0,135.0,67.0,Orthodox,5.59,52.0,4.17,67.0,2.23,56.0,85.0,0.7,5.0,1.0,1987.0,5,5,0,0
204,Luke Barnatt,78.0,185.0,77.0,Orthodox,4.43,36.0,3.87,59.0,0.63,42.0,63.0,0.4,4.0,13.0,1988.0,6,3,3,0
206,David Baron,66.0,155.0,,Switch,1.17,30.0,2.1,56.0,0.0,0.0,14.0,0.7,2.0,15.0,1973.0,1,0,1,0
207,Phil Baroni,69.0,170.0,72.0,Orthodox,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5,4.0,16.0,1976.0,10,3,7,0
208,Josh Barnett,75.0,250.0,78.0,Orthodox,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,11.0,10.0,1977.0,10,7,3,0
209,Carlos Barreto,76.0,230.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,1,0
211,Dan Barrera,69.0,170.0,,Orthodox,0.8,70.0,1.2,28.0,1.0,8.0,0.0,0.0,12.0,23.0,1980.0,1,0,1,0
212,Peter Barrett,70.0,145.0,73.0,Southpaw,4.18,61.0,4.32,42.0,1.39,22.0,66.0,0.0,8.0,10.0,1986.0,2,0,2,0
214,Marc-Andre Barriault,73.0,185.0,74.0,Orthodox,4.25,46.0,4.12,57.0,0.55,28.0,69.0,0.0,2.0,18.0,1990.0,4,0,3,1
215,Alexandre Barros,69.0,170.0,,Southpaw,0.98,40.0,4.05,36.0,1.84,50.0,100.0,0.0,11.0,19.0,1976.0,1,0,1,0
217,Francimar Barroso,73.0,205.0,75.0,Orthodox,2.77,52.0,3.07,59.0,2.22,24.0,83.0,0.0,2.0,28.0,1980.0,9,4,4,1
219,Enrique Barzola,67.0,145.0,70.0,Orthodox,3.91,41.0,2.97,68.0,4.2,45.0,66.0,0.3,4.0,28.0,1989.0,10,6,3,1
220,Stephen Bass,69.0,145.0,,Orthodox,4.87,52.0,5.87,55.0,0.0,0.0,0.0,0.0,11.0,14.0,1982.0,1,0,1,0
221,Pat Barry,71.0,235.0,74.0,Orthodox,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2,7.0,7.0,1979.0,12,5,7,0
224,Shayna Baszler,67.0,135.0,,Orthodox,2.49,30.0,6.36,51.0,0.67,18.0,44.0,1.3,8.0,8.0,1980.0,2,0,2,0
225,Batgerel Danaa,67.0,135.0,70.0,Orthodox,5.66,38.0,2.61,58.0,0.0,0.0,57.0,0.0,7.0,4.0,1989.0,2,1,1,0
226,Michel Batista,75.0,260.0,,Orthodox,0.0,0.0,4.03,40.0,6.72,50.0,0.0,0.0,4.0,20.0,1984.0,1,0,1,0
227,Alan Baudot,75.0,243.0,79.0,Orthodox,1.89,25.0,10.11,36.0,0.0,0.0,0.0,0.0,2.0,1.0,1988.0,1,0,1,0
228,Mario Bautista,69.0,135.0,69.0,Switch,5.71,45.0,4.78,54.0,0.48,33.0,70.0,0.0,7.0,1.0,1993.0,4,2,2,0
229,Chris Beal,67.0,125.0,69.0,Orthodox,3.45,35.0,3.18,61.0,1.6,58.0,78.0,0.2,8.0,6.0,1985.0,5,2,3,0
232,Ariel Beck,66.0,125.0,66.0,Southpaw,4.44,34.0,4.31,64.0,0.0,0.0,0.0,0.0,9.0,16.0,1990.0,1,0,1,0
